State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Andhra Pradesh,66508008,66508008,66508008,66508008,66508008,66508008,66508008,66508008,66508008,66508008,66508008,76210007,76210007,76210007,76210007,76210007,76210007,76210007,76210007,76210007,76210007,84580777,84580777,84580777,84580777,84580777
Arunachal Pradesh,864558,864558,864558,864558,864558,864558,864558,864558,864558,864558,864558,1097968,1097968,1097968,1097968,1097968,1097968,1097968,1097968,1097968,1097968,1383727,1383727,1383727,1383727,1383727
Assam,22414322,22414322,22414322,22414322,22414322,22414322,22414322,22414322,22414322,22414322,22414322,26655528,26655528,26655528,26655528,26655528,26655528,26655528,26655528,26655528,26655528,31205576,31205576,31205576,31205576,31205576
Bihar,64530554,64530554,64530554,64530554,64530554,64530554,64530554,64530554,64530554,64530554,64530554,82998509,82998509,82998509,82998509,82998509,82998509,82998509,82998509,82998509,82998509,104099452,104099452,104099452,104099452,104099452
Chhattisgarh,17614928,17614928,17614928,17614928,17614928,17614928,17614928,17614928,17614928,17614928,17614928,20833803,20833803,20833803,20833803,20833803,20833803,20833803,20833803,20833803,20833803,25545198,25545198,25545198,25545198,25545198
Delhi,9420644,9420644,9420644,9420644,9420644,9420644,9420644,9420644,9420644,9420644,9420644,13850507,13850507,13850507,13850507,13850507,13850507,13850507,13850507,13850507,13850507,16787941,16787941,16787941,16787941,16787941
Goa,1169793,1169793,1169793,1169793,1169793,1169793,1169793,1169793,1169793,1169793,1169793,1347668,1347668,1347668,1347668,1347668,1347668,1347668,1347668,1347668,1347668,1458545,1458545,1458545,1458545,1458545
Gujarat,41309582,41309582,41309582,41309582,41309582,41309582,41309582,41309582,41309582,41309582,41309582,50671017,50671017,50671017,50671017,50671017,50671017,50671017,50671017,50671017,50671017,60439692,60439692,60439692,60439692,60439692
Haryana,16463648,16463648,16463648,16463648,16463648,16463648,16463648,16463648,16463648,16463648,16463648,21144564,21144564,21144564,21144564,21144564,21144564,21144564,21144564,21144564,21144564,25351462,25351462,25351462,25351462,25351462
Himachal Pradesh,5170877,5170877,5170877,5170877,5170877,5170877,5170877,5170877,5170877,5170877,5170877,6077900,6077900,6077900,6077900,6077900,6077900,6077900,6077900,6077900,6077900,6864602,6864602,6864602,6864602,6864602
Jammu & Kashmir,7837051,7837051,7837051,7837051,7837051,7837051,7837051,7837051,7837051,7837051,7837051,10143700,10143700,10143700,10143700,10143700,10143700,10143700,10143700,10143700,10143700,12541302,12541302,12541302,12541302,12541302
Jharkhand,21843911,21843911,21843911,21843911,21843911,21843911,21843911,21843911,21843911,21843911,21843911,26945829,26945829,26945829,26945829,26945829,26945829,26945829,26945829,26945829,26945829,32988134,32988134,32988134,32988134,32988134
Karnataka,44977201,44977201,44977201,44977201,44977201,44977201,44977201,44977201,44977201,44977201,44977201,52850562,52850562,52850562,52850562,52850562,52850562,52850562,52850562,52850562,52850562,61095297,61095297,61095297,61095297,61095297
Kerala,29098518,29098518,29098518,29098518,29098518,29098518,29098518,29098518,29098518,29098518,29098518,31841374,31841374,31841374,31841374,31841374,31841374,31841374,31841374,31841374,31841374,33406061,33406061,33406061,33406061,33406061
Madhya Pradesh,48566242,48566242,48566242,48566242,48566242,48566242,48566242,48566242,48566242,48566242,48566242,60348023,60348023,60348023,60348023,60348023,60348023,60348023,60348023,60348023,60348023,72626809,72626809,72626809,72626809,72626809
Maharashtra,78937187,78937187,78937187,78937187,78937187,78937187,78937187,78937187,78937187,78937187,78937187,96878627,96878627,96878627,96878627,96878627,96878627,96878627,96878627,96878627,96878627,112374333,112374333,112374333,112374333,112374333
Manipur,1837149,1837149,1837149,1837149,1837149,1837149,1837149,1837149,1837149,1837149,1837149,2293896,2293896,2293896,2293896,2293896,2293896,2293896,2293896,2293896,2293896,2855794,2855794,2855794,2855794,2855794
Meghalaya,1774778,1774778,1774778,1774778,1774778,1774778,1774778,1774778,1774778,1774778,1774778,2318822,2318822,2318822,2318822,2318822,2318822,2318822,2318822,2318822,2318822,2966889,2966889,2966889,2966889,2966889
Mizoram,689756,689756,689756,689756,689756,689756,689756,689756,689756,689756,689756,888573,888573,888573,888573,888573,888573,888573,888573,888573,888573,1097206,1097206,1097206,1097206,1097206
Nagaland,1209546,1209546,1209546,1209546,1209546,1209546,1209546,1209546,1209546,1209546,1209546,1990036,1990036,1990036,1990036,1990036,1990036,1990036,1990036,1990036,1990036,1978502,1978502,1978502,1978502,1978502
Odisha,31659736,31659736,31659736,31659736,31659736,31659736,31659736,31659736,31659736,31659736,31659736,36804660,36804660,36804660,36804660,36804660,36804660,36804660,36804660,36804660,36804660,41974218,41974218,41974218,41974218,41974218
Punjab,20281969,20281969,20281969,20281969,20281969,20281969,20281969,20281969,20281969,20281969,20281969,24358999,24358999,24358999,24358999,24358999,24358999,24358999,24358999,24358999,24358999,27743338,27743338,27743338,27743338,27743338
Rajasthan,44005990,44005990,44005990,44005990,44005990,44005990,44005990,44005990,44005990,44005990,44005990,56507188,56507188,56507188,56507188,56507188,56507188,56507188,56507188,56507188,56507188,68548437,68548437,68548437,68548437,68548437
Sikkim,406457,406457,406457,406457,406457,406457,406457,406457,406457,406457,406457,540851,540851,540851,540851,540851,540851,540851,540851,540851,540851,610577,610577,610577,610577,610577
Tamil Nadu,55858946,55858946,55858946,55858946,55858946,55858946,55858946,55858946,55858946,55858946,55858946,62405679,62405679,62405679,62405679,62405679,62405679,62405679,62405679,62405679,62405679,72147030,72147030,72147030,72147030,72147030
Telangana,66508008,66508008,66508008,66508008,66508008,66508008,66508008,66508008,66508008,66508008,66508008,76210007,76210007,76210007,76210007,76210007,76210007,76210007,76210007,76210007,76210007,84580777,84580777,84580777,84580777,84580777
Tripura,2757205,2757205,2757205,2757205,2757205,2757205,2757205,2757205,2757205,2757205,2757205,3199203,3199203,3199203,3199203,3199203,3199203,3199203,3199203,3199203,3199203,3673917,3673917,3673917,3673917,3673917
Uttar Pradesh,132061653,132061653,132061653,132061653,132061653,132061653,132061653,132061653,132061653,132061653,132061653,166197921,166197921,166197921,166197921,166197921,166197921,166197921,166197921,166197921,166197921,199812341,199812341,199812341,199812341,199812341
Uttarakhand,7050634,7050634,7050634,7050634,7050634,7050634,7050634,7050634,7050634,7050634,7050634,8489349,8489349,8489349,8489349,8489349,8489349,8489349,8489349,8489349,8489349,10086292,10086292,10086292,10086292,10086292
West Bengal,68077965,68077965,68077965,68077965,68077965,68077965,68077965,68077965,68077965,68077965,68077965,80176197,80176197,80176197,80176197,80176197,80176197,80176197,80176197,80176197,80176197,91276115,91276115,91276115,91276115,91276115